39, Adm-clerical, Male, <=50K
50, Exec-managerial, Male, <=50K
38, Handlers-cleaners, Male, <=50K
53, Handlers-cleaners, Male, <=50K
28, Prof-specialty, Female, <=50K
37, Exec-managerial, Female, <=50K
49, Other-service, Female, <=50K
52, Exec-managerial, Male, >50K
31, Prof-specialty, Female, >50K
42, Exec-managerial, Male, >50K
37, Exec-managerial, Male, >50K
30, Prof-specialty, Male, >50K
23, Adm-clerical, Female, <=50K
32, Sales, Male, <=50K
40, Craft-repair, Male, >50K
34, Transport-moving, Male, <=50K
25, Farming-fishing, Male, <=50K
32, Machine-op-inspct, Male, <=50K
38, Sales, Male, <=50K
43, Exec-managerial, Female, >50K
40, Prof-specialty, Male, >50K
54, Other-service, Female, <=50K
35, Farming-fishing, Male, <=50K
43, Transport-moving, Male, <=50K
59, Tech-support, Female, <=50K
56, Tech-support, Male, >50K
19, Craft-repair, Male, <=50K
54, ?, Male, >50K
39, Exec-managerial, Male, <=50K
49, Craft-repair, Male, <=50K
23, Protective-serv, Male, <=50K
20, Sales, Male, <=50K
45, Exec-managerial, Male, <=50K
30, Adm-clerical, Male, <=50K
22, Other-service, Male, <=50K
48, Machine-op-inspct, Male, <=50K
21, Machine-op-inspct, Male, <=50K
19, Adm-clerical, Female, <=50K
31, Sales, Male, >50K
48, Prof-specialty, Male, <=50K
31, Machine-op-inspct, Male, <=50K
53, Prof-specialty, Male, <=50K
24, Tech-support, Male, <=50K
49, Adm-clerical, Female, <=50K
25, Handlers-cleaners, Male, <=50K
57, Prof-specialty, Male, >50K
53, Machine-op-inspct, Male, <=50K
44, Exec-managerial, Female, <=50K
41, Craft-repair, Male, <=50K
29, Prof-specialty, Male, <=50K
25, Exec-managerial, Female, <=50K
18, Other-service, Female, <=50K
47, Prof-specialty, Female, >50K
50, Exec-managerial, Male, >50K
47, Exec-managerial, Male, <=50K
43, Tech-support, Male, >50K
46, Machine-op-inspct, Male, <=50K
35, Other-service, Male, <=50K
41, Adm-clerical, Male, <=50K
30, Machine-op-inspct, Male, <=50K
30, Sales, Male, <=50K
32, ?, Male, <=50K
48, Transport-moving, Male, <=50K
42, Prof-specialty, Male, >50K
29, Tech-support, Male, <=50K
36, Craft-repair, Male, <=50K
28, Adm-clerical, Female, <=50K
53, Adm-clerical, Female, >50K
49, Exec-managerial, Male, >50K
25, ?, Male, <=50K
19, Prof-specialty, Male, <=50K
31, Sales, Female, <=50K
29, Sales, Male, >50K
23, Machine-op-inspct, Male, <=50K
79, Prof-specialty, Male, <=50K
27, Other-service, Male, <=50K
40, Adm-clerical, Male, <=50K
67, ?, Male, <=50K
18, Other-service, Female, <=50K
31, Farming-fishing, Male, <=50K
18, Sales, Male, <=50K
52, Other-service, Male, <=50K
46, Other-service, Female, <=50K
59, Sales, Male, <=50K
44, Craft-repair, Female, >50K
53, Sales, Female, <=50K
49, Protective-serv, Male, >50K
33, Prof-specialty, Male, <=50K
30, Sales, Male, <=50K
43, Prof-specialty, Female, >50K
57, Prof-specialty, Male, <=50K
37, Craft-repair, Female, <=50K
28, Machine-op-inspct, Female, <=50K
30, Sales, Female, <=50K
34, Protective-serv, Male, >50K
29, Handlers-cleaners, Male, <=50K
48, Prof-specialty, Male, >50K
37, Sales, Male, >50K
48, Exec-managerial, Female, <=50K
32, Other-service, Male, <=50K
76, Exec-managerial, Male, >50K
44, Exec-managerial, Male, >50K
47, Prof-specialty, Female, <=50K
20, Tech-support, Female, <=50K
29, Craft-repair, Male, <=50K
32, Craft-repair, Male, >50K
17, ?, Female, <=50K
30, Handlers-cleaners, Male, <=50K
31, Adm-clerical, Female, <=50K
42, Handlers-cleaners, Male, <=50K
24, Sales, Male, <=50K
38, Prof-specialty, Male, >50K
56, Other-service, Male, >50K
28, Sales, Female, <=50K
36, Machine-op-inspct, Female, <=50K
53, Handlers-cleaners, Male, <=50K
56, Sales, Male, <=50K
49, Craft-repair, Male, >50K
55, Sales, Male, <=50K
22, Craft-repair, Male, <=50K
21, Other-service, Female, <=50K
40, Exec-managerial, Male, <=50K
30, Exec-managerial, Male, <=50K
29, Prof-specialty, Male, >50K
19, Other-service, Male, <=50K
47, Exec-managerial, Female, >50K
20, Adm-clerical, Female, <=50K
31, Adm-clerical, Male, >50K
35, ?, Male, <=50K
39, Craft-repair, Male, <=50K
28, Sales, Female, <=50K
24, Other-service, Female, <=50K
38, Craft-repair, Male, <=50K
37, Sales, Male, <=50K
46, Tech-support, Female, <=50K
38, Prof-specialty, Male, >50K
43, Craft-repair, Male, <=50K
27, Adm-clerical, Female, <=50K
20, Sales, Male, <=50K
49, Craft-repair, Male, >50K
61, Craft-repair, Male, <=50K
27, Sales, Female, <=50K
19, Other-service, Male, <=50K
45, Prof-specialty, Female, >50K
70, Tech-support, Male, <=50K
31, Transport-moving, Female, <=50K
22, Other-service, Male, <=50K
36, Other-service, Female, <=50K
64, Craft-repair, Male, <=50K
43, ?, Female, <=50K
47, Adm-clerical, Female, <=50K
34, Adm-clerical, Female, <=50K
33, Exec-managerial, Female, <=50K
21, Craft-repair, Male, <=50K
52, ?, Male, >50K
48, Craft-repair, Male, <=50K
23, Handlers-cleaners, Male, <=50K
71, Sales, Male, <=50K
29, Craft-repair, Male, <=50K
42, Other-service, Male, <=50K
68, ?, Female, <=50K
25, Other-service, Female, <=50K
44, Exec-managerial, Female, <=50K
28, Exec-managerial, Female, <=50K
45, Sales, Male, >50K
36, Other-service, Female, <=50K
39, Exec-managerial, Male, <=50K
46, Protective-serv, Male, <=50K
18, Handlers-cleaners, Male, <=50K
66, Prof-specialty, Female, <=50K
27, Other-service, Male, <=50K
28, Protective-serv, Male, <=50K
51, Sales, Male, >50K
27, Craft-repair, Male, <=50K
28, Prof-specialty, Male, >50K
27, Sales, Female, <=50K
21, Craft-repair, Male, <=50K
34, Handlers-cleaners, Male, <=50K
18, Other-service, Male, <=50K
33, Prof-specialty, Male, <=50K
44, Exec-managerial, Male, >50K
43, Adm-clerical, Female, <=50K
30, Craft-repair, Male, <=50K
40, Machine-op-inspct, Male, >50K
37, Adm-clerical, Male, >50K
34, Adm-clerical, Male, <=50K
41, Exec-managerial, Female, <=50K
53, ?, Female, <=50K
31, Prof-specialty, Female, <=50K
58, Prof-specialty, Male, >50K
38, Machine-op-inspct, Female, <=50K
24, Machine-op-inspct, Male, <=50K
41, Craft-repair, Male, <=50K
47, Tech-support, Male, <=50K
